date,ASSAULT,BATTERY,BURGLARY,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,HOMICIDE,MOTOR VEHICLE THEFT,NARCOTICS,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,THEFT,WEAPONS VIOLATION
2014-01-30,36,101,43,2,81,0,40,96,7,25,6,165,8
2014-01-31,41,105,52,0,72,0,32,64,7,29,4,192,3
2014-02-01,42,130,29,5,68,1,32,89,5,37,6,157,8
2014-02-02,26,150,30,4,60,0,17,51,6,23,4,106,5
2014-02-03,41,125,39,1,47,0,26,60,11,21,3,180,5
2014-02-04,39,83,40,3,48,2,27,89,4,17,0,155,4
2014-02-05,39,88,35,2,35,1,26,74,5,18,1,125,4
2014-02-06,35,92,29,2,50,1,28,79,4,17,1,141,3
2014-02-07,41,107,23,2,65,1,46,85,9,21,2,159,3
2014-02-08,27,99,19,2,61,0,26,83,4,18,2,141,5
2014-02-09,30,135,26,4,57,2,26,86,5,29,1,126,7
2014-02-10,37,108,38,2,64,0,15,68,5,17,4,143,7
2014-02-11,26,111,27,3,37,0,19,94,4,22,2,136,6
2014-02-12,22,79,32,1,40,1,28,101,3,24,1,133,10
2014-02-13,31,99,38,2,52,1,22,88,4,24,5,159,9
2014-02-14,37,102,49,4,62,1,24,81,7,22,2,170,6
2014-02-15,29,138,21,4,77,1,26,76,5,18,1,135,3
2014-02-16,28,118,21,3,75,0,19,74,9,16,1,125,7
2014-02-17,36,99,27,5,62,0,23,70,8,15,3,146,4
2014-02-18,38,110,32,1,39,0,24,94,8,15,1,138,4
2014-02-19,49,133,21,2,70,0,24,114,13,13,2,156,6
2014-02-20,48,112,29,2,63,1,20,77,7,13,2,142,4
2014-02-21,40,127,29,1,73,2,19,102,3,15,0,179,4
2014-02-22,37,144,38,3,62,2,11,81,9,23,1,129,3
2014-02-23,23,136,26,1,65,0,24,95,5,16,1,128,5
2014-02-24,50,96,40,0,44,0,27,88,1,20,5,144,10
2014-02-25,38,124,29,4,46,0,21,95,6,19,1,145,3
2014-02-26,38,101,40,5,69,0,21,96,5,23,0,141,3
2014-02-27,58,106,45,1,43,1,25,82,4,15,2,130,4
2014-02-28,37,123,37,2,61,3,36,84,5,25,3,148,4
2014-03-01,47,124,25,9,71,2,31,66,5,18,5,140,2
