date,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FORGERY/COUNTERFEITING,FRAUD,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,SECONDARY CODES,SEX OFFENSES FORCIBLE,STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS
2003-05-21,2,30,1,0,20,2,0,37,0,0,0,4,10,0,68,0,1,4,25,56,4,0,4,4,0,2,0,6,2,23,25,40,3
2003-05-22,1,35,1,0,25,2,0,20,0,0,0,11,10,0,74,0,1,7,24,54,19,0,11,3,0,1,0,10,4,15,46,19,1
2003-05-23,0,18,0,0,29,0,2,21,1,0,0,6,6,0,75,0,0,9,31,54,20,0,9,1,0,2,0,16,2,12,49,16,0
2003-05-24,1,25,0,0,24,1,1,40,0,0,0,6,4,0,72,2,0,2,29,48,0,0,9,3,1,2,0,10,2,17,43,17,3
2003-05-25,0,29,0,0,16,3,3,23,0,0,0,3,6,0,58,0,0,2,23,41,2,0,7,2,5,3,0,3,1,13,42,14,1
2003-05-26,1,31,0,0,19,1,1,17,2,0,0,4,7,0,64,0,0,4,31,46,1,0,6,1,2,1,0,11,5,13,42,18,1
2003-05-27,1,34,1,0,21,4,0,23,0,0,0,10,13,0,75,0,0,4,38,73,11,0,11,4,1,3,2,12,4,10,40,25,4
2003-05-28,0,35,2,0,19,1,0,20,0,0,0,2,7,0,77,0,0,5,39,29,14,0,10,2,0,2,0,10,3,10,38,25,4
2003-05-29,1,20,0,0,21,2,1,36,0,0,0,6,14,0,74,0,1,7,28,68,14,0,9,1,0,1,0,11,4,15,55,26,2
2003-05-30,2,24,1,0,23,2,1,21,2,0,0,12,6,0,72,1,3,7,17,56,0,0,7,2,0,1,2,19,4,16,47,21,1
2003-05-31,1,32,0,0,7,0,1,21,4,0,0,3,5,2,68,0,0,6,36,76,2,0,3,3,1,1,0,12,6,20,37,24,3
2003-06-01,1,40,1,0,16,0,2,27,2,0,2,13,12,0,69,1,0,6,43,51,0,0,16,2,1,3,0,24,5,20,44,23,2
2003-06-02,1,32,0,0,25,3,0,53,2,2,0,7,11,1,66,0,0,2,29,63,1,0,18,3,0,3,0,8,2,19,45,19,2
2003-06-03,1,36,0,0,17,2,1,38,1,1,0,8,6,1,76,0,0,1,23,49,0,0,16,2,1,2,0,8,1,18,34,26,6
2003-06-04,0,41,0,0,11,9,0,29,3,0,0,6,15,1,68,1,0,3,22,76,15,0,8,1,4,3,0,12,5,15,31,30,5
