crime_type,trigger,lag,trigger_family_class,epoch,k_cities,g_meta,ci_lo,ci_hi,se_hk,p_meta,tau2,Q,p_Q,I2,cities
ASSAULT,WAVE_after_syzygy,1,WAVE,PRE2014,2,0.03203053662670738,-0.4873230044454876,0.5513840776989024,0.04087401012696334,0.5768478550328258,0.0,0.6220693881099136,0.4302793264096192,0.0,chicago;sf
ASSAULT,WAVE_after_syzygy,WIN3,WAVE,PRE2014,2,0.0174052542025259,-0.444388415801991,0.47919892420704285,0.036343950029423866,0.7156673837272747,0.0013349911622364216,2.0185505358102613,0.1553874069184312,50.459501396699366,chicago;sf
ASSAULT,WAVE_before_quadrature,-1,WAVE,PRE,2,-0.013058645963871586,-0.4657636703724474,0.4396463784447043,0.03562865810831374,0.776345128920565,0.0,0.0027825568396482813,0.9579311429613792,0.0,chicago;sf
ASSAULT,WAVE_before_quadrature,0,WAVE,PRE,2,0.0013959838093468037,-0.5661934883448387,0.5689854559635323,0.044670260233313754,0.9801115608020052,0.001438200122107795,1.5580378127985095,0.21195275361682575,35.81670535942742,chicago;sf
ASSAULT,WAVE_before_quadrature,1,WAVE,PRE,2,0.04048993722154945,-0.4124832861024015,0.4934631605455003,0.035649765820721845,0.4595847100472443,0.0,0.9972013177193777,0.3179886560029542,0.0,chicago;sf
ASSAULT,WAVE_before_quadrature,WIN3,WAVE,PRE,2,0.012213342752553437,-0.37742065864952495,0.4018473441546318,0.030664860946628163,0.7587040865578162,0.0008832297674481275,1.8785189189850842,0.17050257776934016,46.76657286261059,chicago;sf
ASSAULT,WAVE_before_quadrature,-1,WAVE,PRE2014,2,-0.022802566261107146,-0.5417744241539966,0.4961692916317823,0.040843971009286356,0.6758449215440109,0.0,0.41496729418116585,0.5194590094673295,0.0,chicago;sf
ASSAULT,WAVE_before_quadrature,0,WAVE,PRE2014,2,0.002807837679143665,-0.5161658939353957,0.5217815692936829,0.040844118474378306,0.9563041848436651,0.0,0.8593418327773201,0.35392294053952245,0.0,chicago;sf
ASSAULT,WAVE_before_quadrature,1,WAVE,PRE2014,2,0.02765651363802864,-0.49990622997637374,0.555219257252431,0.04152008837869097,0.6259159155388869,0.00011061762882023563,1.0329596807829091,0.3094645361069507,3.1908003183558966,chicago;sf
ASSAULT,WAVE_before_quadrature,WIN3,WAVE,PRE2014,2,0.002947969814694573,-0.3211422531289692,0.3270381927583584,0.025506453710320773,0.9267461610762509,0.0,0.6582090249239392,0.4171929377203304,0.0,chicago;sf
ASSAULT,WAVE_before_syzygy,-1,WAVE,PRE,2,0.004347315415869019,-0.4483608351709208,0.45705546600265884,0.03562890414387501,0.9227039457872392,0.0,0.4667943887452255,0.4944656078496109,0.0,chicago;sf
ASSAULT,WAVE_before_syzygy,0,WAVE,PRE,2,0.016191922981893776,-0.4365151712679777,0.4688990172317652,0.035628821008356557,0.7284448650622397,0.0,0.15872728588056845,0.6903309866852814,0.0,chicago;sf
ASSAULT,WAVE_before_syzygy,1,WAVE,PRE,2,0.0019650753200663542,-0.4509941516620765,0.4549243023022092,0.03564866428473227,0.964942837666376,0.0,0.7432447671077742,0.3886234419969614,0.0,chicago;sf
ASSAULT,WAVE_before_syzygy,WIN3,WAVE,PRE,2,0.009847661674608718,-0.33477702007600496,0.3544723434252224,0.027122550667114807,0.7782782415837134,0.000475980000843306,1.473383267483463,0.2248126480484854,32.12899711369745,chicago;sf
ASSAULT,WAVE_before_syzygy,-1,WAVE,PRE2014,2,0.008637508231817385,-0.5366881415555125,0.5539631580191473,0.0429180594126376,0.8735655533552786,0.0003406926098611456,1.1013446823330295,0.29397119205029876,9.201904177568315,chicago;sf
ASSAULT,WAVE_before_syzygy,0,WAVE,PRE2014,2,0.010111675946114248,-0.5092346566369406,0.5294580085291691,0.040873442806564395,0.8456066092212619,0.0,0.6494807796947593,0.4202983755221653,0.0,chicago;sf
ASSAULT,WAVE_before_syzygy,1,WAVE,PRE2014,2,-0.0023661129570493973,-0.5217047300270936,0.5169725041129949,0.040872835582521444,0.9631874082542629,0.0,0.14280840531211692,0.7055048870515599,0.0,chicago;sf
ASSAULT,WAVE_before_syzygy,WIN3,WAVE,PRE2014,2,0.0076142554631246605,-0.4455914643738146,0.4608199753000639,0.035668063693124426,0.8661070843687244,0.0012378201872127773,1.9444189649939627,0.16318953201044972,48.570754657131985,chicago;sf
ASSAULT,WAVE_event,-1,WAVE,PRE,2,-0.014368548779411393,-0.27037027612061465,0.24163317856179184,0.020147772891395153,0.6056124795692743,0.0,0.07426229052944563,0.7852290703903455,0.0,chicago;sf
ASSAULT,WAVE_event,0,WAVE,PRE,2,-0.011509599003684841,-0.2675100884730708,0.24449089046570108,0.0201476754687703,0.6695813212121388,0.0,0.015222555933659274,0.9018064134514329,0.0,chicago;sf
ASSAULT,WAVE_event,1,WAVE,PRE,2,0.03431311294105337,-0.23841656739373984,0.3070427932758466,0.021464291343646,0.35586340685684187,0.00010773235395097307,1.130652233748459,0.2876362590197836,11.555474782489641,chicago;sf
ASSAULT,WAVE_event,WIN3,WAVE,PRE,2,0.010704070379077552,-0.2919677383492061,0.3133758791073612,0.02382078795412783,0.7311426004695345,8.375399947684652e-05,1.0785951527995727,0.2990120425714831,7.286807528809421,chicago;sf
ASSAULT,WAVE_event,-1,WAVE,PRE2014,2,-0.013949091897976575,-0.30743202177061096,0.27953383797465786,0.023097607504398238,0.6541267783735886,0.0,0.02408144062454321,0.8766778700486827,0.0,chicago;sf
ASSAULT,WAVE_event,0,WAVE,PRE2014,2,-0.007363646355088158,-0.30084437349791104,0.2861170807877347,0.0230974341458024,0.8035255931505625,0.0,0.0021842391187494184,0.9627237621289967,0.0,chicago;sf
ASSAULT,WAVE_event,1,WAVE,PRE2014,2,0.038739868804409654,-0.2697447868859063,0.34722452449472563,0.024278268931540805,0.35639294341498584,0.00011107339865049156,1.1034598102097206,0.29350807246151545,9.375947293454876,chicago;sf
ASSAULT,WAVE_event,WIN3,WAVE,PRE2014,2,0.02229162659395975,-0.31139376265389584,0.3559770158418154,0.02626160967571144,0.5519380389580896,0.0,0.9288305784025963,0.3351669830164661,0.0,chicago;sf
ASSAULT,WAVE_quadrature,-1,WAVE,PRE,2,-0.035277801527938954,-0.36778690815588705,0.2972313051000091,0.026169034225818455,0.4063109244361819,0.0,0.5506322931487339,0.45805945455259267,0.0,chicago;sf
ASSAULT,WAVE_quadrature,0,WAVE,PRE,2,-0.018410458233304824,-0.3509134545229801,0.31409253805637044,0.02616855333176712,0.6096924813334932,0.0,0.9574841661535618,0.32782155530099655,0.0,chicago;sf
ASSAULT,WAVE_quadrature,1,WAVE,PRE,2,0.051928564869826686,-0.417974994865875,0.5218321246055284,0.036982212193414625,0.39397232609991456,0.001354782665639665,1.9740036997299657,0.1600235323464947,49.34153364875682,chicago;sf
ASSAULT,WAVE_quadrature,WIN3,WAVE,PRE,2,-0.0013439561781036855,-0.2670522394770937,0.26436432712088637,0.020911695412646168,0.9591418105497702,0.0002075930119888976,1.3077110720117364,0.25280949674068864,23.530509039612596,chicago;sf
ASSAULT,WAVE_quadrature,-1,WAVE,PRE2014,2,-0.03866614494205648,-0.44081240943596695,0.36348011955185394,0.03164959740817408,0.4366836686806583,0.00020324922439147054,1.1123137146875886,0.2915795508090235,10.097305571669022,chicago;sf
ASSAULT,WAVE_quadrature,0,WAVE,PRE2014,2,-0.016196339102639484,-0.3972627058217383,0.36487002761645937,0.029990573473641535,0.6847648824860044,0.0,0.27384305794765607,0.6007653893413829,0.0,chicago;sf
ASSAULT,WAVE_quadrature,1,WAVE,PRE2014,2,0.05149828040313582,-0.584595108118312,0.6875916689245837,0.050061635375479,0.49099511233161314,0.0032062114331803523,2.7714295446199873,0.09596042615464193,63.91753844360788,chicago;sf
ASSAULT,WAVE_quadrature,WIN3,WAVE,PRE2014,2,-0.0027085491403471412,-0.26819963203007363,0.2627825337493794,0.020894601369714466,0.9179331624046265,0.0,0.6229444568636258,0.42995520737958604,0.0,chicago;sf
ASSAULT,WAVE_syzygy,-1,WAVE,PRE,2,0.011036810354705728,-0.32145871129040315,0.3435323319998146,0.02616796506448185,0.7459059918638162,0.0,0.15124772409189252,0.6973458288140122,0.0,chicago;sf
ASSAULT,WAVE_syzygy,0,WAVE,PRE,2,-0.0010059561828661676,-0.33350375416615613,0.33149184180042385,0.02616814421618201,0.9755390979970229,0.0,0.6691677875764959,0.41334190467033816,0.0,chicago;sf
ASSAULT,WAVE_syzygy,1,WAVE,PRE,2,0.007666167885133876,-0.32491083625127004,0.34024317202153775,0.02617437787562296,0.8186145772366503,0.0,0.000643584358204627,0.9797606659034412,0.0,chicago;sf
ASSAULT,WAVE_syzygy,WIN3,WAVE,PRE,2,0.008586550366994534,-0.22304141239655764,0.24021451313054673,0.018229516017431446,0.7197601241291698,0.0,0.10040520513707318,0.7513439128826317,0.0,chicago;sf
ASSAULT,WAVE_syzygy,-1,WAVE,PRE2014,2,0.014919703862202994,-0.36640103985936845,0.3962404475837744,0.030010593377912655,0.7062869772301041,0.0,0.730761291493417,0.3926365355509106,0.0,chicago;sf
ASSAULT,WAVE_syzygy,0,WAVE,PRE2014,2,0.0037866012136652874,-0.3775279142612121,0.38510111668854274,0.03001010320426732,0.9200951422095502,0.0,0.34100160104231203,0.559251648622739,0.0,chicago;sf
ASSAULT,WAVE_syzygy,1,WAVE,PRE2014,2,0.01599097010010489,-0.36532372784090583,0.39730566804111556,0.030010117564663447,0.6883217805125139,0.0,0.09098383244174849,0.762930122616765,0.0,chicago;sf
ASSAULT,WAVE_syzygy,WIN3,WAVE,PRE2014,2,0.01682816118856372,-0.24872845911576885,0.2823847814928963,0.020899759276104733,0.5684391439640825,0.0,0.00047795233488652923,0.9825579406060427,0.0,chicago;sf
BURGLARY,PHASE_FirstQ,-1,PHASE,POST,3,-0.002057770169593625,-0.73253553497188,0.7284199946326927,0.16977381413114265,0.991429715999022,0.048164913892637315,4.811534217542151,0.09019627870821692,58.43321673348405,chicago;la;nyc
BURGLARY,PHASE_FirstQ,0,PHASE,POST,3,-0.10311795841155785,-0.5308980704636554,0.3246621536405397,0.09942241192268098,0.4086065955480622,0.0,1.1263732275223792,0.5693917382806073,0.0,chicago;la;nyc
