family,trigger,epoch,lag,city,crime_type,g,var_g,n_target,n_ctrl,p_mw,p_mw_fdr
AGGRESSION_TOTAL,PHASE_Full,PRE,0,la,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,-0.067580986614585,0.0084542896613,125,2206,0.4681791396685359,0.978584926851867
AGGRESSION_TOTAL,PHASE_Full,PRE,0,la,BATTERY - SIMPLE ASSAULT,0.0237926854093505,0.0084534306879482,125,2206,0.6609216349010671,0.978584926851867
AGGRESSION_TOTAL,PHASE_Full,PRE,0,sf,ASSAULT,0.1578065831865032,0.005716437775242,185,3253,0.0329996550390421,0.7259924108589265
AGGRESSION_TOTAL,PHASE_Full,PRE,1,chicago,ASSAULT,-0.0043923491811351,0.0044600853669335,237,4155,0.98451536130112,0.9932270697862532
AGGRESSION_TOTAL,PHASE_Full,PRE,1,chicago,BATTERY,-0.0407952195867585,0.0044602727196908,237,4155,0.5470334254469225,0.9932270697862532
AGGRESSION_TOTAL,PHASE_Full,PRE,1,philly,Aggravated Assault No Firearm,-0.0646300543767944,0.0060403440323254,175,3073,0.4246843149583145,0.9702601726781324
AGGRESSION_TOTAL,PHASE_Full,PRE,1,nyc,ASSAULT 3 & RELATED OFFENSES,-0.110984872825011,0.0070476635917235,150,2640,0.1767981963050792,0.8739979556700558
AGGRESSION_TOTAL,PHASE_Full,PRE,1,nyc,FELONY ASSAULT,-0.0444042157848293,0.0070458081563547,150,2640,0.496140084128659,0.8739979556700558
AGGRESSION_TOTAL,PHASE_Full,PRE,1,la,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,-0.1792498608156183,0.0084602070771116,125,2206,0.1208309828179271,0.8991100259158633
AGGRESSION_TOTAL,PHASE_Full,PRE,1,la,BATTERY - SIMPLE ASSAULT,0.020849015864863,0.0084534024761799,125,2206,0.9323405281058774,0.9741872828200768
AGGRESSION_TOTAL,PHASE_Full,PRE,1,sf,ASSAULT,0.0755242129719449,0.005713643972717,185,3253,0.2528534593604319,0.9649084038997232
