city,epoch,crime_type,trigger,trigger_family,lag,mean_raw,n_days_epoch,R2_A,R2_B,n_target,n_ctrl,g,var_g,p_mw,p_mw_fdr,delta_pct,g_lo,g_hi,qp_coef,qp_p,model_disagree,p_perm_14,p_perm_28,p_perm_circ,slice_g_1,slice_g_2,slice_g_3,slice_g_4,slice_g_5,slice_sign_frac,slice_g_iqr,n_slices_valid,g_placebo_mean,p_placebo_emp,argmax_lag,status_flag,config_hash
nyc_ems,PRE2014,ABDPN,WAVE_before_quadrature,WAVE,-1,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,247,3405,0.036466430203141234,0.004342450916648645,0.5615962422894476,0.9982242650502056,0.3354538762861292,,,,,,,,,,,,,,,,,,,-1,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,WAVE_before_quadrature,WAVE,0,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,247,3405,0.019560105004910188,0.0043423211628371445,0.8513246653225324,0.9984541737171203,0.17979865985646715,-0.09702860122047946,0.14759007957061654,0.0014906758979363333,0.8218618408873789,0.0,0.753,0.771,0.769,0.07534919981470388,-0.2800384140576419,0.13812112419964265,0.18620006830252414,-0.023064798381595412,0.6,0.16118592258123807,5.0,0.003077354739562594,0.755,-1,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,WAVE_before_quadrature,WAVE,1,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,247,3405,-0.005576050307617578,0.004342273011416491,0.8980549111889681,0.996559298397828,-0.0511971089097063,,,,,,,,,,,,,,,,,,,-1,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,WAVE_before_quadrature,WAVE,WIN3,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,741,2911,0.019670592540085186,0.0016931052317357715,0.5757989810570721,0.9938108278784371,0.18081170844765904,-0.06151061771821928,0.09918887195872558,0.0030952099127845717,0.509535146157048,0.0,0.655,0.649,0.644,0.0459449146265859,-0.08615982320530442,0.09364468922085657,0.027612645985939755,0.017450129580757832,0.8,0.028494785045828065,5.0,0.002598044112444112,0.69,-1,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,WAVE_after_quadrature,WAVE,-1,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,247,3405,-0.0337018770115803,0.004342424343495542,0.4608398293281759,0.9982242650502056,-0.3090274004920457,,,,,,,,,,,,,,,,,,,0,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,WAVE_after_quadrature,WAVE,0,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,247,3405,-0.09609880149091549,0.004343533817897444,0.15001074755462515,0.9984541737171203,-0.8784302864373594,-0.23123024615365337,0.030678250046102945,-0.011749895869149984,0.12112890397335102,0.0,0.134,0.125,0.135,-0.15622994320414552,0.021826651192964917,-0.09348454260655227,-0.05446658286821457,-0.20220132208878794,0.8,0.10176336033593095,5.0,-0.004345957401391886,0.19,0,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,WAVE_after_quadrature,WAVE,1,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,247,3405,-0.03160223197578413,0.004342405560557425,0.3972267977404784,0.996559298397828,-0.28980400480786983,,,,,,,,,,,,,,,,,,,0,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,WAVE_after_quadrature,WAVE,WIN3,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,741,2911,-0.06293945242647993,0.0016935948813879451,0.05902600554781479,0.9938108278784371,-0.5761823451613579,-0.14120067239480802,0.02299455570902544,-0.009933959192858471,0.05109857295889561,0.0,0.12,0.147,0.113,-0.051048790361473355,0.002658509096601342,-0.07744311507268357,-0.03304941438216186,-0.15893503272241813,0.8,0.04439370069052172,5.0,-0.0020198763370620314,0.17,0,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,PHASE_Syzygy,PHASE,-1,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,247,2167,-0.0623016444545415,0.0045108550841579075,0.4671880873763743,0.9974630741851355,-0.5670407258607901,,,,,,,,,,,,,,,,,,,-1,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,PHASE_Syzygy,PHASE,0,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,247,2167,0.044740384494551706,0.004510465409013417,0.5711237530412274,0.9983855909334398,0.41243994133821626,-0.09695081793383419,0.18114025348060026,0.005872782208875667,0.34296327512620395,0.0,0.495,0.501,0.483,0.017418973004200294,0.03195202753516538,0.07854953254123383,0.09823126073584137,-0.006887086358762188,0.8,0.06113055953703353,5.0,0.003953257843420539,0.485,-1,OK,bd64cffe73
